,Cluster,RA,DEC,R_Sun,R_GC,N_RV,N_PM,Mass,DM,V,DV,M/L_V,DM/L,rc,"rh,l","rh,m",rt,rho_c,"rho_h,m",sig_c,"sig_h,m",lg,Trh,MF,F_REM,sig0,vesc,etac,cl_key
0,NGC_104,6.02379,-72.08131,4.52,7.52,4379,18199,895000.0,5850.0,4.08,0.06,1.96,0.09,0.79,3.64,6.3,126.8,4.37,2.65,4.63,3.65,9.73,-0.83,0.44,11.9,47.5,-0.37,-0.04,ngc104
1,NGC_288,13.1885,-26.58261,8.99,12.21,567,3271,93400.0,2580.0,8.1,0.06,2.16,0.1,3.59,5.83,8.37,94.86,1.8,1.28,2.76,2.43,9.47,-0.52,0.49,3.1,10.8,-0.22,-0.09,ngc288
2,NGC_362,15.80942,-70.84878,8.83,9.62,509,10969,284000.0,4240.0,6.48,0.05,1.44,0.05,0.4,2.19,3.79,91.96,4.67,2.8,4.65,3.58,9.16,-0.54,0.55,8.6,31.5,-0.26,-0.11,ngc362
3,Whiting_1,30.7375,-3.25278,30.59,35.15,7,0,1970.0,393.0,14.62,0.09,0.5,0.11,2.45,9.5,15.49,48.59,0.25,-1.19,1.06,0.19,9.18,0.01,0.45,0.4,1.3,-0.21,-0.03,whiting1
4,NGC_1261,48.06754,-55.21622,16.4,18.28,300,154,182000.0,2960.0,8.31,0.05,1.63,0.07,0.88,3.25,5.23,140.39,3.78,2.19,4.0,3.11,9.3,-0.64,0.53,5.7,21.8,-0.34,-0.12,ngc1261
5,Pal_1,53.3335,79.58105,11.18,17.41,7,0,1030.0,204.0,13.95,0.05,2.4,0.48,0.69,1.8,3.56,23.78,1.68,0.46,1.94,1.21,7.89,-0.16,0.46,0.5,1.9,-0.3,-0.1,pal1
6,AM_1,58.75959,-49.61528,118.91,120.27,2,0,19200.0,3840.0,15.07,0.06,0.81,0.17,6.56,14.91,19.86,266.24,0.22,-0.5,1.45,1.01,9.63,1.76,0.74,0.9,3.3,-0.15,-0.01,am1
7,Eridanus,66.18561,-21.18678,84.68,89.76,14,0,11600.0,2310.0,15.02,0.05,0.92,0.19,6.83,13.75,17.91,169.17,0.02,-0.62,1.25,0.86,9.48,1.08,0.72,0.7,2.6,-0.14,-0.01,eridanus
8,Pal_2,71.52462,31.3815,26.17,34.19,16,0,231000.0,96500.0,12.64,0.07,1.32,0.56,1.63,4.82,8.06,161.79,2.96,1.73,3.56,2.84,9.67,-0.86,0.27,5.1,19.6,-0.36,-0.04,pal2
9,NGC_1851,78.52816,-40.04655,11.95,16.69,1323,7469,318000.0,4240.0,7.07,0.06,1.66,0.06,0.08,1.75,2.9,127.09,6.25,3.19,5.54,3.85,8.95,-0.41,0.56,11.0,45.7,-0.41,-0.11,ngc1851
10,NGC_1904,81.04584,-24.52442,13.08,19.09,564,0,139000.0,10700.0,7.94,0.06,1.39,0.12,0.42,2.51,3.21,65.68,4.49,2.7,4.44,3.4,8.81,0.32,0.7,6.5,26.2,-0.37,-0.07,ngc1904
11,NGC_2298,102.24754,-36.00531,9.83,15.07,40,248,55800.0,7520.0,9.06,0.05,1.91,0.26,0.53,2.4,3.31,74.71,3.7,2.27,3.83,2.99,8.65,0.06,0.73,3.9,15.7,-0.34,-0.11,ngc2298
12,NGC_2419,114.53529,38.88194,88.47,95.93,185,0,971000.0,146000.0,10.56,0.06,1.99,0.31,8.08,19.69,26.5,829.02,1.67,0.8,2.96,2.43,10.63,-0.37,0.57,5.7,20.5,-0.15,0.01,ngc2419
13,Pyxis,136.9869,-37.2266,36.53,38.61,43,0,24600.0,4100.0,13.2,0.06,1.84,0.31,13.36,17.04,22.83,121.56,-0.33,-0.61,1.19,1.0,9.9,-0.58,0.47,1.0,3.2,-0.07,-0.06,pyxis
14,NGC_2808,138.01291,-64.86349,10.06,11.58,2119,17933,864000.0,6100.0,6.14,0.05,1.51,0.06,0.79,2.45,3.89,165.91,4.56,3.24,4.8,4.04,9.37,-0.59,0.51,14.1,54.7,-0.35,-0.08,ngc2808
15,E_3,140.23779,-77.28189,7.88,9.1,20,50,2890.0,532.0,11.85,0.05,1.28,0.24,1.81,4.22,6.14,20.79,1.03,0.17,1.7,1.18,8.56,0.6,0.6,0.6,2.3,-0.23,-0.11,e3
16,Pal_3,151.38162,0.07167,94.84,98.17,22,0,18900.0,3450.0,14.52,0.05,1.48,0.27,14.31,20.22,27.44,249.68,-0.57,-0.96,0.97,0.72,9.95,-0.29,0.51,0.8,2.5,-0.1,-0.03,pal3
17,NGC_3201,154.40343,-46.41248,4.74,8.93,3523,3742,160000.0,3290.0,6.77,0.05,2.16,0.09,1.22,3.8,6.78,77.53,3.25,1.79,3.66,2.83,9.51,-1.12,18.89,4.6,18.4,-0.37,-0.08,ngc3201
18,Pal_4,172.31833,28.97337,101.39,104.05,23,0,12900.0,2380.0,14.23,0.05,0.68,0.13,11.38,15.85,21.3,198.06,-0.45,-0.8,1.0,0.77,9.72,-0.1,0.54,0.7,2.4,-0.17,-0.06,pal4
19,Crater,174.06875,-10.87697,147.23,147.0,33,0,10800.0,2130.0,15.74,0.11,1.16,0.26,12.72,19.35,25.74,236.83,-0.69,-1.12,0.8,0.53,9.78,-0.23,0.51,0.6,1.9,-0.09,-0.03,crater
20,NGC_4147,182.52626,18.54264,18.54,20.74,44,0,39000.0,9370.0,10.29,0.05,1.64,0.4,0.36,2.54,4.03,89.25,3.88,1.88,3.83,2.67,8.74,-0.3,0.62,3.2,13.0,-0.39,-0.11,ngc4147
21,NGC_4372,186.4391,-72.65908,5.71,7.22,194,1846,198000.0,7300.0,7.37,0.06,2.08,0.12,3.79,5.75,8.53,75.02,2.08,1.58,3.06,2.75,9.68,-1.01,0.64,4.5,15.7,-0.24,-0.09,ngc4372
22,Rup_106,189.6675,-51.15028,20.71,18.04,33,0,34200.0,5830.0,11.05,0.05,1.39,0.24,5.11,7.64,11.57,71.64,0.92,0.42,2.04,1.72,9.58,-0.98,0.38,1.6,5.6,-0.27,-0.11,rup106
23,NGC_4590,189.86658,-26.74406,10.4,10.35,256,458,122000.0,9220.0,7.99,0.05,1.8,0.15,1.96,4.43,7.58,77.43,2.53,1.53,3.22,2.62,9.53,-1.04,0.44,3.7,14.2,-0.39,-0.09,ngc4590
24,BH_140,193.47292,-67.17728,4.81,6.86,4,590,59900.0,4970.0,9.15,0.12,2.49,0.34,4.82,6.23,9.53,51.41,1.31,0.92,2.4,2.14,9.48,-0.59,0.38,2.4,8.0,-0.2,-0.09,bh140
25,NGC_4833,194.89134,-70.8765,6.48,7.13,164,968,206000.0,10300.0,7.19,0.05,1.74,0.1,1.54,3.25,4.76,80.15,3.13,2.36,3.73,3.26,9.22,-0.31,0.61,6.1,22.5,-0.33,-0.12,ngc4833
26,NGC_5024,198.23021,18.16817,18.5,19.0,340,358,455000.0,32200.0,7.7,0.05,1.77,0.14,2.31,6.43,10.18,177.72,2.87,1.71,3.61,2.93,9.98,-1.14,0.42,6.3,24.1,-0.31,-0.02,ngc5024
27,NGC_5053,199.11288,17.70025,17.54,18.01,55,0,74200.0,16100.0,9.92,0.05,2.55,0.56,10.3,12.37,17.31,97.05,0.5,0.23,1.9,1.72,9.97,-1.14,0.57,2.0,6.3,-0.11,-0.06,ngc5053
28,NGC_5139,201.69699,-47.47947,5.43,6.5,5441,49154,3640000.0,41400.0,3.5,0.05,2.58,0.1,4.28,7.57,10.36,202.91,3.25,2.6,4.23,3.84,10.4,-0.77,0.62,17.7,63.9,-0.07,-0.03,ngc5139
29,NGC_5272,205.54842,28.37728,10.18,12.09,651,783,406000.0,17200.0,6.39,0.05,1.61,0.09,1.23,3.39,6.34,127.28,3.67,2.29,4.08,3.29,9.66,-1.17,0.42,7.6,30.0,-0.39,-0.07,ngc5272
30,NGC_5286,206.61171,-51.37425,11.1,8.46,1106,542,353000.0,12000.0,7.35,0.05,1.48,0.06,0.4,2.37,3.79,93.89,4.81,2.9,4.77,3.68,9.18,-0.51,0.39,9.7,39.6,-0.36,-0.1,ngc5286
31,AM_4,209.08907,-27.16517,29.01,24.58,14,0,756.0,151.0,16.49,0.06,3.63,0.75,2.15,6.38,15.0,51.0,-0.07,-1.57,0.68,-0.18,9.18,-2.12,0.27,0.2,0.8,-0.27,-0.11,am4
32,NGC_5466,211.36371,28.53444,16.12,16.48,68,324,59800.0,9910.0,9.32,0.05,1.44,0.24,6.48,9.53,14.03,79.88,0.88,0.41,2.09,1.79,9.81,-1.0,0.43,1.9,6.6,-0.23,-0.08,ngc5466
33,NGC_5634,217.40533,-5.97643,25.96,21.84,50,84,228000.0,43700.0,9.51,0.08,2.18,0.44,0.75,4.48,7.39,182.86,4.2,1.85,4.13,2.91,9.57,-0.76,0.43,5.6,22.9,-0.37,-0.05,ngc5634
34,NGC_5694,219.90125,-26.53878,34.84,29.16,134,0,317000.0,28300.0,9.86,0.13,2.1,0.3,0.04,3.1,4.86,240.54,6.7,2.52,5.7,3.4,9.29,-0.53,0.49,9.2,37.4,-0.35,-0.07,ngc5694
35,IC_4499,225.07719,-82.21379,18.89,15.75,68,134,155000.0,25800.0,9.84,0.06,2.27,0.39,5.14,10.16,14.96,110.32,1.47,0.76,2.58,2.15,10.02,-1.04,0.35,3.0,10.7,-0.26,-0.04,ic4499
36,NGC_5824,225.99416,-33.06814,31.71,25.42,172,146,762000.0,41400.0,8.86,0.08,2.04,0.17,0.66,4.49,6.51,261.18,4.61,2.52,4.73,3.53,9.66,-0.44,0.53,11.2,45.3,-0.39,-0.03,ngc5824
37,Pal_5,229.01917,-0.121,21.94,17.27,52,0,9980.0,1660.0,11.86,0.06,1.23,0.21,14.86,20.41,27.64,46.09,-0.91,-1.25,0.66,0.44,9.87,-0.37,0.5,0.6,1.9,-0.15,-0.07,pal5
38,NGC_5897,229.35166,-21.01012,12.55,7.41,157,550,157000.0,14300.0,8.48,0.05,2.22,0.22,5.49,7.61,10.99,69.58,1.55,1.15,2.69,2.43,9.82,-1.03,0.56,3.5,11.9,-0.2,-0.08,ngc5897
39,NGC_5904,229.63841,2.08103,7.48,6.27,887,7961,394000.0,6420.0,5.95,0.05,1.81,0.06,1.18,3.51,5.68,81.73,3.71,2.41,4.12,3.37,9.51,-0.85,0.54,7.9,30.6,-0.35,-0.07,ngc5904
40,NGC_5927,232.00287,-50.67303,8.27,4.77,397,14086,275000.0,2370.0,7.74,0.06,1.63,0.06,1.42,3.47,5.28,63.78,3.37,2.36,3.89,3.29,9.31,-0.07,0.47,6.7,24.2,-0.26,-0.06,ngc5927
41,NGC_5946,233.86905,-50.65971,9.64,5.2,32,130,93100.0,13700.0,9.49,0.09,1.58,0.26,0.31,1.93,2.59,44.03,4.51,2.81,4.42,3.42,8.59,0.13,0.55,6.0,23.8,-0.35,-0.12,ngc5946
42,NGC_5986,236.5125,-37.78642,10.54,4.85,239,216,334000.0,23500.0,7.7,0.05,1.9,0.15,1.17,2.77,4.25,65.86,3.63,2.71,4.11,3.55,9.25,-0.52,0.54,8.2,30.9,-0.39,-0.12,ngc5986
43,FSR_1716,242.625,-53.74889,7.43,4.14,9,28,64300.0,22800.0,13.06,0.18,9.19,3.39,1.9,3.66,5.16,35.62,2.41,1.75,3.09,2.69,9.01,-0.16,0.59,3.3,11.8,-0.28,-0.11,fsr1716
44,Pal_14,242.7525,14.95778,73.58,68.55,16,0,18900.0,3510.0,14.13,0.05,1.68,0.32,16.29,27.62,36.7,77.0,-0.85,-1.3,0.78,0.49,10.1,-0.04,0.6,0.7,2.3,-0.07,-0.0,pal14
45,Lynga_7,242.76521,-55.31778,7.9,4.35,6,254,79600.0,10700.0,9.87,0.14,1.66,0.31,2.16,4.11,5.16,39.06,2.4,1.84,3.13,2.78,8.99,1.1,0.61,3.6,12.7,-0.19,-0.08,lynga7
46,NGC_6093,244.26004,-22.97608,10.34,3.95,2837,294,338000.0,9410.0,7.43,0.05,2.08,0.08,0.41,1.76,2.62,61.98,4.85,3.36,4.85,3.98,8.86,-0.16,0.62,11.0,43.5,-0.37,-0.11,ngc6093
47,RLGC_1,244.28504,-44.59406,28.84,21.59,0,32,297000.0,0.0,13.1,0.0,1.8,0.0,2.83,7.97,11.6,172.83,2.39,1.47,3.26,2.71,9.9,-0.85,0.41,4.6,17.2,-0.32,-0.02,rlgc1
48,NGC_6101,246.45049,-72.20219,14.45,10.36,47,42,178000.0,32200.0,8.68,0.05,2.56,0.47,5.86,9.56,14.06,89.11,1.46,0.88,2.62,2.26,10.04,-1.27,0.51,3.3,11.6,-0.26,-0.05,ngc6101
49,NGC_6121,245.89674,-26.52575,1.85,6.45,2896,10370,87100.0,1130.0,5.65,0.06,1.59,0.06,0.39,2.49,3.69,53.43,4.19,2.33,4.16,3.1,8.87,-0.25,0.53,4.8,19.4,-0.37,-0.11,ngc6121
50,NGC_6139,246.91847,-38.84878,10.04,3.51,56,240,323000.0,32700.0,8.97,0.09,1.73,0.22,0.27,1.85,2.47,66.58,5.36,3.41,5.11,4.0,8.79,0.24,0.59,11.5,45.6,-0.35,-0.1,ngc6139
51,NGC_6144,246.80777,-26.0235,8.15,2.5,22,76,79200.0,13700.0,9.24,0.05,2.49,0.44,1.62,3.63,4.91,28.18,2.66,1.9,3.28,2.81,9.01,0.11,0.71,3.7,13.6,-0.34,-0.1,ngc6144
52,Ter_3,247.16248,-35.33983,7.64,2.46,22,80,40400.0,11500.0,10.59,0.18,1.75,0.57,2.93,4.67,7.19,22.45,1.68,1.11,2.56,2.2,9.17,-0.58,0.17,2.2,7.9,-0.29,-0.09,ter3
53,NGC_6171,248.13275,-13.05378,5.63,3.74,374,833,74900.0,3940.0,8.28,0.05,2.22,0.14,0.83,2.86,3.94,36.17,3.34,2.17,3.67,2.98,8.87,-0.02,0.68,4.1,16.0,-0.39,-0.1,ngc6171
54,ESO_452-SC11,249.85417,-28.39917,7.39,2.12,13,48,8260.0,3350.0,11.76,0.07,2.42,0.99,0.73,2.52,3.68,10.99,2.53,1.3,2.8,2.08,8.41,0.63,0.62,1.4,5.6,-0.33,-0.12,eso452-sc11
55,NGC_6205,250.42181,36.45986,7.42,8.64,430,1405,545000.0,20600.0,5.81,0.05,2.31,0.12,1.89,3.46,5.26,134.25,3.34,2.66,4.02,3.59,9.52,-0.7,0.66,9.4,34.0,-0.3,-0.1,ngc6205
56,NGC_6218,251.80907,-1.94853,5.11,4.57,1078,2815,107000.0,3280.0,7.09,0.05,1.92,0.09,1.21,2.83,4.05,45.27,3.13,2.29,3.62,3.11,8.94,-0.28,0.62,4.8,17.8,-0.32,-0.11,ngc6218
57,NGC_6229,251.74525,47.5278,30.11,29.45,21,0,286000.0,90900.0,9.33,0.07,1.93,0.62,1.05,3.12,4.41,209.53,3.66,2.61,4.09,3.46,9.21,-0.53,0.65,7.5,28.7,-0.34,-0.1,ngc6229
58,FSR_1735,253.04417,-47.05806,9.08,3.25,6,0,72300.0,14300.0,14.38,0.11,1.48,0.33,0.51,2.14,2.97,31.73,3.87,2.52,4.0,3.2,8.63,0.15,0.62,4.7,18.6,-0.34,-0.11,fsr1735
59,NGC_6235,253.35568,-22.17745,11.94,4.42,2,120,107000.0,20900.0,9.62,0.05,2.56,0.51,1.2,3.33,4.78,39.11,3.07,2.07,3.56,2.96,9.09,-0.22,0.56,4.4,16.8,-0.34,-0.1,ngc6235
60,NGC_6254,254.28772,-4.10031,5.07,4.35,439,1046,205000.0,4310.0,6.61,0.05,1.86,0.08,1.05,2.97,4.81,54.06,3.49,2.34,3.92,3.24,9.25,-0.68,0.53,6.2,23.7,-0.35,-0.1,ngc6254
61,NGC_6256,254.88611,-37.12097,7.24,1.94,15,1708,125000.0,3170.0,10.56,0.12,2.11,0.22,0.04,2.97,4.82,30.17,6.21,2.13,5.22,3.03,9.15,-0.63,0.62,5.4,20.9,-0.38,-0.12,ngc6256
62,Pal_15,254.9626,-0.539,44.1,37.28,5,0,50900.0,10000.0,13.55,0.07,3.5,0.71,14.29,20.13,26.86,116.85,-0.15,-0.5,1.4,1.18,10.1,-0.25,0.55,1.3,4.2,-0.11,-0.03,pal15
63,NGC_6266,255.30415,-30.11339,6.41,2.15,251,16888,610000.0,4500.0,6.6,0.07,1.99,0.11,0.39,1.79,2.43,46.33,5.15,3.71,5.15,4.29,8.91,0.21,0.62,15.3,60.3,-0.37,-0.08,ngc6266
64,NGC_6273,255.65749,-26.26797,8.34,1.43,282,671,697000.0,36100.0,6.88,0.06,2.25,0.14,1.01,3.15,4.21,38.77,4.15,3.05,4.54,3.88,9.3,0.33,0.68,12.1,46.0,-0.3,-0.04,ngc6273
65,NGC_6284,256.12011,-24.7648,14.21,6.32,32,62,129000.0,23300.0,9.31,0.12,1.33,0.26,0.47,2.93,3.78,64.43,4.22,2.45,4.26,3.23,8.89,1.01,0.65,5.9,23.4,-0.35,-0.04,ngc6284
66,NGC_6287,256.2889,-22.70801,7.93,1.57,3,300,145000.0,18200.0,9.26,0.08,2.82,0.4,0.21,1.95,3.65,23.74,4.95,2.57,4.66,3.32,9.01,-0.62,0.61,6.3,26.1,-0.39,-0.13,ngc6287
67,NGC_6293,257.5425,-26.58208,9.19,1.6,2,140,205000.0,16000.0,8.4,0.11,2.55,0.33,0.13,2.36,4.05,26.3,5.56,2.58,5.02,3.39,9.16,-0.82,0.69,7.5,30.3,-0.39,-0.12,ngc6293
68,NGC_6304,258.6344,-29.46203,6.15,2.19,188,120,126000.0,11400.0,8.18,0.08,1.57,0.17,0.22,1.95,4.26,29.65,4.94,2.3,4.58,3.13,9.1,-0.76,0.06,5.5,21.3,-0.35,-0.11,ngc6304
69,NGC_6316,259.15542,-28.14011,11.15,3.16,65,96,318000.0,39400.0,9.01,0.19,2.59,0.52,0.6,2.98,4.77,52.51,4.31,2.56,4.45,3.43,9.27,-0.28,0.6,8.2,32.7,-0.36,-0.07,ngc6316
70,NGC_6325,259.49633,-23.76768,7.53,1.28,41,1065,58900.0,2040.0,10.9,0.09,2.09,0.11,0.31,1.7,2.05,16.06,4.54,2.91,4.37,3.43,8.24,1.32,0.72,5.3,20.9,-0.34,-0.05,ngc6325
71,NGC_6333,259.79909,-18.51626,8.3,1.73,34,576,323000.0,24700.0,7.65,0.05,2.14,0.18,0.91,2.73,4.17,33.98,3.86,2.73,4.23,3.56,9.22,-0.42,0.57,8.3,31.8,-0.35,-0.11,ngc6333
72,NGC_6341,259.28076,43.13594,8.5,9.85,384,7514,352000.0,4190.0,6.51,0.05,2.16,0.07,0.78,2.39,4.49,120.87,4.11,2.67,4.34,3.53,9.39,-1.15,0.57,8.4,32.8,-0.34,-0.13,ngc6341
73,NGC_6342,260.29157,-19.58766,8.01,1.54,53,1669,42200.0,1120.0,9.86,0.12,1.83,0.13,0.34,1.48,2.06,15.47,4.16,2.77,4.11,3.28,8.22,0.96,0.66,4.4,17.3,-0.35,-0.09,ngc6342
74,NGC_6352,261.37128,-48.42217,5.54,3.51,43,400,64700.0,2020.0,8.06,0.06,2.21,0.11,1.12,2.88,4.56,33.58,2.93,1.92,3.4,2.79,8.96,-0.16,0.58,3.5,13.5,-0.3,-0.11,ngc6352
75,NGC_6355,260.99353,-26.35283,8.65,0.93,44,1790,101000.0,2620.0,10.04,0.08,1.63,0.11,0.21,2.36,3.55,14.02,4.88,2.44,4.55,3.19,8.86,-0.31,0.62,5.5,22.1,-0.37,-0.12,ngc6355
76,NGC_6356,260.8958,-17.81303,15.66,7.86,41,98,600000.0,85500.0,8.32,0.08,2.75,0.43,1.48,3.87,6.86,93.23,3.52,2.35,4.08,3.4,9.72,-0.87,0.32,8.8,33.4,-0.29,-0.04,ngc6356
77,IC_1257,261.78543,-7.09306,26.59,19.27,5,0,18100.0,3620.0,13.81,0.13,1.26,0.29,1.16,4.05,5.54,65.92,2.28,1.11,2.76,2.06,8.85,0.03,0.63,1.7,6.6,-0.35,-0.12,ic1257
78,Ter_2,261.88792,-30.80233,7.75,0.74,8,36,136000.0,24600.0,13.11,0.11,2.27,0.46,0.42,2.43,4.16,11.28,4.38,2.37,4.31,3.18,9.03,-0.18,0.52,5.7,23.0,-0.38,-0.09,ter2
